date,symbol,weight
07/1983,CORD,0.3789939
07/1983,SERF,0.028385
07/1983,HYBR,0.3006755
07/1983,IINT,0.0496361
07/1983,ARDN,0.023857
07/1983,MCFE,0.080404
07/1983,PDPR,0.2200219
07/1983,EMTH,0.0190236
07/1983,KROY,0.148623
07/1983,STNA,0.1606887
07/1983,TUCK,-0.0899325
07/1983,DRWN,-0.3203764
07/1984,COBE,-0.0671197
07/1984,USPC,-0.0991212
07/1984,EQTY,-0.1357985
07/1984,BIBB,-0.0416683
07/1984,IGEN,-0.0338389
07/1984,FDLB,-0.0236253
07/1984,HYBR,-0.2121063
07/1984,BREN,-0.1271202
07/1984,SOLR,-0.0506124
07/1984,TLCR,0.0379544
07/1984,SERF,0.1120247
07/1984,GSCC,0.5887886
07/1984,KERN,0.233943
07/1984,HDON,0.6562192
07/1984,ITHM,0.1082112
07/1984,ELLM,0.0538696
07/1985,MGLL,-0.0367879
07/1985,PFTS,-0.0335567
07/1985,NTWK,-0.097878
07/1985,UTLC,-0.0860925
07/1985,VMXI,-0.0696252
07/1985,DRXR,-0.0831404
07/1985,PLIT,-0.3802365
07/1985,ANDR,-0.0254039
07/1985,PTNX,-0.0442318
07/1985,LANE,0.9607759
07/1985,WBBC,0.2677085
07/1985,TIPR,0.0288581
07/1985,MNFT,0.2911666
07/1985,SLTC,0.0674943
07/1985,KENN,0.2039444
07/1985,NCAC,0.0370052
07/1986,CIFR,-0.1385515
07/1986,KEQU,-0.0102327
07/1986,ADIT,-0.0083467
07/1986,FDPC,-0.0078227
07/1986,MSAI,-0.0763268
07/1986,GPHY,-0.0572057
07/1986,RFTN,-0.007798
07/1986,ARDNA,-0.018722
07/1986,ANDR,-0.0050056
07/1986,DOCO,-0.0076635
07/1986,SYSM,-0.0228052
07/1986,MNFT,0.3531845
07/1986,DSLT,0.1263151
07/1986,MTLI,0.0343696
07/1986,FMIF,0.3790352
07/1986,CLNY,0.0712274
07/1986,HAML,0.3963484
07/1987,BSET,-0.0521167
07/1987,DBHI,-0.0104101
07/1987,TRCO,-0.0363115
07/1987,MGCO,-0.0051868
07/1987,LINN,-0.0108139
07/1987,ATRN,-0.0013766
07/1987,MTIK,-0.0037619
07/1987,SVAN,-0.0645603
07/1987,DNAP,-0.0196453
07/1987,RFTN,-0.004251
07/1987,DKJC,-0.0092239
07/1987,DILO,-0.0064574
07/1987,NBSC,-0.0073279
07/1987,FRSL,0.0101536
07/1987,CHIC,0.1392865
07/1987,MTRX,0.100329
07/1987,ADGE,0.0118468
07/1987,ENUC,0.0352792
07/1987,ANTC,0.112159
07/1987,KRUE,0.2563578
07/1987,JSCC,0.0426315
07/1987,EBMI,0.0077369
