date,symbol,weight
07-01-2004,CSU,-0.0116768
07-01-2004,KTII,-0.0051941
07-01-2004,MTSN,-0.0568514
07-01-2004,MCCC,-0.0666288
07-01-2004,CALD,-0.0120725
07-01-2004,ROCK,-0.0608947
07-01-2004,IDEV,-0.0278549
07-01-2004,VTSS,-0.1004601
07-01-2004,HCSG,-0.0249075
07-01-2004,PDFS,-0.0204534
07-01-2004,SVU,-0.3922983
07-01-2004,PRST,-0.0342322
07-01-2004,GPX,-0.0102476
07-01-2004,URS,-0.1114489
07-01-2004,SONC,-0.1283901
07-01-2004,PCH,-0.1161889
07-01-2004,CTL,-0.3950754
07-01-2004,KSWS,-0.0503807
07-01-2004,RADN,-0.0125586
07-01-2004,MAXY,-0.0351934
07-01-2004,NCR,-0.4442705
07-01-2004,OCR,-0.4210228
07-01-2004,LH,-0.531497
07-01-2004,ACCL,-0.022825
07-01-2004,OSUR,-0.0410334
07-01-2004,PTMK,-0.0217003
07-01-2004,WST,-0.0593838
07-01-2004,JCS,-0.0062423
07-01-2004,THOR,-0.0568532
07-01-2004,OBIE,-0.0022077
07-01-2004,ASVI,-0.037426
07-01-2004,ACET,-0.0267433
07-01-2004,ZOLL,-0.030554
07-01-2004,OATS,-0.0378274
07-01-2004,JBHT,-0.2950635
07-01-2004,FONR,-0.0118131
07-01-2004,PTEC,-0.0162421
07-01-2004,OS,-0.0370518
07-01-2004,WGRD,-0.022929
07-01-2004,EFX,-0.3210451
07-01-2004,IDTI,-0.1390912
07-01-2004,DELL,-8.558599
07-01-2004,TSS,-0.4082564
07-01-2004,HXL,-0.0431008
07-01-2004,JQH,-0.004349
07-01-2004,KAMNA,-0.0292072
07-01-2004,BFA,-0.2586529
07-01-2004,VGR,-0.0584366
07-01-2004,NUE,-0.5737865
07-01-2004,EMKR,-0.0144572
07-01-2004,KEYS,-0.0408048
07-01-2004,MTRX,-0.0149043
07-01-2004,DSS,-0.0529909
07-01-2004,CBB,-0.1030323
07-01-2004,EMC,-2.612776
07-01-2004,VAR,-0.5145586
07-01-2004,VECO,-0.0725143
07-01-2004,BWS,-0.0704341
07-01-2004,FRD,-0.0033214
07-01-2004,LIN,0.0433106
07-01-2004,GLFD,0.0069979
07-01-2004,TTC,0.0557918
07-01-2004,IP,0.7193655
07-01-2004,SWFT,0.0473851
07-01-2004,SKY,0.0113069
07-01-2004,ESIO,0.0264406
07-01-2004,IPG,0.1906645
07-01-2004,JNJ,5.481197
07-01-2004,PIR,0.0508917
07-01-2004,TDS,0.1185694
07-01-2004,DDS,0.0587723
07-01-2004,TSN,0.172271
07-01-2004,CAT,0.900345
07-01-2004,MNT,0.0479767
07-01-2004,ACTI,0.0100723
07-01-2004,BKI,0.014008
07-01-2004,DIS,1.714102
07-01-2004,IGT,0.4386579
07-01-2004,SPEX,0.0019989
07-01-2004,BNT,0.0092752
07-01-2004,CMVT,0.1277874
07-01-2004,KR,0.4396492
07-01-2004,BORL,0.0227424
07-01-2004,TKR,0.0776039
07-01-2004,CTIM,0.00153
07-01-2004,CTX,0.1872131
07-01-2004,MANC,0.0012575
07-01-2004,EMMS,0.0351477
07-01-2004,SMTC,0.0573443
07-01-2004,WLS,0.0296793
07-01-2004,NBSC,0.0017864
07-01-2004,TPY,0.0046069
07-01-2004,SEH,0.0272952
07-01-2004,MYE,0.0141229
07-01-2004,MRK,3.458665
07-01-2004,TXN,1.387546
07-01-2004,PLB,0.0180248
07-01-2004,PRV,0.0280522
07-01-2004,YELL,0.0628367
07-01-2004,FCGI,0.0044598
07-01-2004,PIXR,0.1295591
07-01-2004,FMT,0.0445784
07-01-2004,PIK,0.0066093
07-01-2004,BLTI,0.0107194
07-01-2004,LIZ,0.1323199
07-01-2004,BASI,0.0006399
07-01-2004,KMB,1.082237
07-01-2004,POSS,0.0205622
07-01-2004,THC,0.2069134
07-01-2004,FLA,0.0472789
07-01-2004,BC,0.1281034
07-01-2004,STIZ,0.001752
07-01-2004,NHHC,0.0018109
07-01-2004,THT,0.0025708
07-01-2004,JNY,0.1631627
07-01-2004,PKS,0.0221343
07-01-2004,BUCA,0.0035187
07-01-2004,DE,0.578793
07-01-2005,CSU,0
07-01-2005,KTII,0
07-01-2005,MTSN,0
07-01-2005,MCCC,0
07-01-2005,CALD,0
07-01-2005,ROCK,0
07-01-2005,IDEV,0
07-01-2005,VTSS,0
07-01-2005,HCSG,0
07-01-2005,PDFS,-0.0040129
07-01-2005,SVU,-0.05226
07-01-2005,PRST,0
07-01-2005,GPX,0
07-01-2005,URS,-0.021229
07-01-2005,SONC,0
07-01-2005,PCH,-0.0178823
07-01-2005,CTL,0
07-01-2005,KSWS,0
07-01-2005,RADN,0
07-01-2005,MAXY,0
07-01-2005,NCR,0
07-01-2005,OCR,0
07-01-2005,LH,0
07-01-2005,ACCL,0
07-01-2005,OSUR,0
07-01-2005,PTMK,0
07-01-2005,WST,0
07-01-2005,JCS,0
07-01-2005,THOR,0
07-01-2005,OBIE,0
07-01-2005,ASVI,0
07-01-2005,ACET,0
07-01-2005,ZOLL,0
07-01-2005,OATS,0
07-01-2005,JBHT,0
07-01-2005,FONR,0
07-01-2005,PTEC,0
07-01-2005,OS,0
07-01-2005,WGRD,0
07-01-2005,EFX,0
07-01-2005,IDTI,-0.0135108
07-01-2005,DELL,0
07-01-2005,TSS,0
07-01-2005,HXL,0
07-01-2005,JQH,0
07-01-2005,KAMNA,0
07-01-2005,BFA,0
07-01-2005,VGR,0
07-01-2005,NUE,0
07-01-2005,EMKR,0
07-01-2005,KEYS,0
07-01-2005,MTRX,0
07-01-2005,DSS,0
07-01-2005,CBB,0
07-01-2005,EMC,0
07-01-2005,VAR,0
07-01-2005,VECO,0
07-01-2005,BWS,-0.0084613
07-01-2005,FRD,0
07-01-2005,LIN,0
07-01-2005,GLFD,0
07-01-2005,TTC,0
07-01-2005,IP,0
07-01-2005,SWFT,0
07-01-2005,SKY,0
07-01-2005,ESIO,0
07-01-2005,IPG,0
07-01-2005,JNJ,0
07-01-2005,PIR,0
07-01-2005,TDS,0.0101269
07-01-2005,DDS,0
07-01-2005,TSN,0
07-01-2005,CAT,0
07-01-2005,MNT,0
07-01-2005,ACTI,0
07-01-2005,BKI,0
07-01-2005,DIS,0
07-01-2005,IGT,0
07-01-2005,SPEX,0
07-01-2005,BNT,0
07-01-2005,CMVT,0
07-01-2005,KR,0
07-01-2005,BORL,0
07-01-2005,TKR,0.0102481
07-01-2005,CTIM,0
07-01-2005,CTX,0
07-01-2005,MANC,0
07-01-2005,EMMS,0
07-01-2005,SMTC,0
07-01-2005,WLS,0
07-01-2005,NBSC,0
07-01-2005,TPY,0
07-01-2005,SEH,0
07-01-2005,MYE,0
07-01-2005,MRK,0
07-01-2005,TXN,0.2211331
07-01-2005,PLB,0
07-01-2005,PRV,0
07-01-2005,YELL,0
07-01-2005,FCGI,0
07-01-2005,PIXR,0
07-01-2005,FMT,0.0069434
07-01-2005,PIK,0
07-01-2005,BLTI,0
07-01-2005,LIZ,0
07-01-2005,BASI,0.0001397
07-01-2005,KMB,0
07-01-2005,POSS,0
07-01-2005,THC,0
07-01-2005,FLA,0.0068088
07-01-2005,BC,0
07-01-2005,STIZ,0
07-01-2005,NHHC,0
07-01-2005,THT,0
07-01-2005,JNY,0
07-01-2005,PKS,0
07-01-2005,BUCA,0
07-01-2005,DE,0
07-01-2005,WSOB,-0.0019868
07-01-2005,LUK,-0.0490622
07-01-2005,OLG,-0.0090303
07-01-2005,GNLB,-0.0005241
07-01-2005,RSAS,-0.0095633
07-01-2005,TECH,-0.0209206
07-01-2005,BKE,-0.0099188
07-01-2005,HPC,-0.0188501
07-01-2005,AGL,-0.002654
07-01-2005,CTR,-0.0074635
07-01-2005,MSO,-0.0077344
07-01-2005,CIPH,-0.0006675
07-01-2005,SMTL,-0.0032325
07-01-2005,STJ,-0.1863481
07-01-2005,AVGN,-0.0007404
07-01-2005,AXR,-0.0020102
07-01-2005,CYAN,-0.0002908
07-01-2005,FTHR,-0.0005036
07-01-2005,APOG,-0.0050396
07-01-2005,SUN,-0.0922945
07-01-2005,DVSA,-0.0027401
07-01-2005,RGX,-0.0011163
07-01-2005,HZO,-0.006465
07-01-2005,CLDA,-0.0009222
07-01-2005,PATK,-0.000551
07-01-2005,BBY,-0.2628734
07-01-2005,QGLY,-0.0011916
07-01-2005,APCS,-0.0266661
07-01-2005,IDIX,-0.0123163
07-01-2005,LCI,-0.0014813
07-01-2005,ERS,-0.0010959
07-01-2005,BW,-0.0032337
07-01-2005,QUIP,-0.0001982
07-01-2005,KSU,-0.0194959
07-01-2005,PRCP,-0.0007065
07-01-2005,PDCO,-0.0730425
07-01-2005,FXEN,-0.0045102
07-01-2005,DRS,-0.0167717
07-01-2005,AG,-0.0203906
07-01-2005,PXD,-0.0714594
07-01-2005,IES,-0.0008418
07-01-2005,MEE,-0.0341475
07-01-2005,SLI,-0.0011777
07-01-2005,XJT,-0.0054676
07-01-2005,LDR,-0.0054862
